OBJECTID,Zip Code,Date,CHS Day 0,CHS Day 1,CHS Day 2,CHS Day 3,CHS Day 4,CHS Day 5,CHS Day 6,GlobalID,Shape__Area,Shape__Length
1,00012,2026-04-02,0,0,0,0,0,0,0,a00156c5-d741-484a-a43d-ffee13a31d0a,137603280.109375,78041.2271199669
2,00016,2026-04-02,0,0,0,0,0,0,0,bb56c3f1-93d0-4aca-85e7-8cf3ba76d16b,154003969.601563,63651.4982817458
3,00017,2026-04-02,0,0,0,0,0,0,0,13d3cc58-358f-4671-940a-8ef4703c98d6,2313715392.53125,334630.782197269
4,00018,2026-04-02,0,0,0,0,0,0,0,b765cb6e-a27d-4d51-95b4-b4d4db18b4bd,347407381.308594,109006.007196722
5,00019,2026-04-02,0,0,0,0,0,0,0,03971128-9a6c-40a8-b0aa-7e6b6517ceb8,1854823542.44922,214186.913978969
6,00020,2026-04-02,0,0,0,0,0,0,0,693cc4e3-1003-4b6b-8453-6fc99aaf8ed1,1644490592.72656,222731.212422929
7,00022,2026-04-02,0,0,0,0,0,0,0,f5b65fed-c350-449e-a06c-7dbb430136a7,47828554.1210938,34991.648123453
8,00026,2026-04-02,0,0,0,0,0,0,0,1c6aaa62-7e10-4eab-bc04-469e9b1efbd4,5805741032.17188,545455.65356713
9,00028,2026-04-02,0,0,0,0,0,0,0,e80456b3-ca42-43c7-baf3-0cfae3cc5c4d,504388724.886719,146706.706651908
10,00029,2026-04-02,0,0,0,0,0,0,0,715ef37a-4c27-4717-ba14-3cf526c6986c,9452033.19140625,15344.9652854363
11,00031,2026-04-02,0,0,0,0,0,0,0,a5ac51f7-6f8c-46f0-9775-5cbe9ef13ea4,302420243.613281,87119.6496345759
12,00032,2026-04-02,0,0,0,0,0,0,0,6820e87d-0157-45a8-9c26-815d68db1057,2159346001.39453,354676.276884124
13,00033,2026-04-02,0,0,0,0,0,0,0,d4231321-d25f-4620-a84c-404c474f95c6,191183175.992188,70147.8121352828
14,00034,2026-04-02,0,0,0,0,0,0,0,de8b20fa-7ea8-4ea7-b9a9-203ec54742ae,837902748.101563,163827.288693253
15,00035,2026-04-02,0,0,0,0,0,0,0,3f871f51-299c-4384-bacd-bbd239c5e8aa,4098807351.71484,439841.43246011
16,00037,2026-04-02,0,0,0,0,0,0,0,c36393fa-4dd0-478f-9d56-eb7ac66db278,431765951.339844,108552.622064941
17,00038,2026-04-02,0,0,0,0,0,0,0,7aa18ea9-dd6a-458b-a41a-f8893d4de3ab,1956625759.25391,310818.567622554
18,00039,2026-04-02,0,0,0,0,0,0,0,42ae8b27-9d3b-49ce-8500-265c83c0b385,3246343632.27734,593294.453253286
19,00040,2026-04-02,0,0,0,0,0,0,0,aee0e08a-6c40-4a81-9794-d6bfd16022c7,1670020238.16406,247521.87842514
20,00044,2026-04-02,0,0,0,0,0,0,0,82f13b2a-355a-4497-8e49-33ecfcd4cbe9,1166576218.77734,189866.011330684
21,00047,2026-04-02,0,0,0,0,0,0,0,d17c156c-f084-4109-b8a7-caa8f4a47054,660189492.179688,125652.549477904
22,00048,2026-04-02,0,0,0,0,0,0,0,069257fd-ba7b-4446-9fb4-e13d4a70304d,1045954986.67578,232855.8137434
23,00049,2026-04-02,0,0,0,0,0,0,0,b525e34a-9d29-49e6-bafd-c828bd861bb1,1378613814.23828,265861.742793374
24,00050,2026-04-02,0,0,0,0,0,0,0,a74e5421-03be-4291-9bfc-41bca006e25b,692305533.0625,172626.900501652
25,00051,2026-04-02,0,0,0,0,0,0,0,5bf96546-6cec-4447-8b3a-039f44cc8034,806425248.132813,149183.690958043
26,00052,2026-04-02,0,0,0,0,0,0,0,4b2f9548-6e46-43d4-88e7-2b42d81a9287,241233938.265625,115315.173288524
27,00054,2026-04-02,0,0,0,0,0,0,0,78b9150c-2d3f-4c2f-a2cd-7122249477fc,716019315.777344,206659.232166506
28,00055,2026-04-02,0,0,0,0,0,0,0,3f7f9944-dc1e-4dac-a081-0ad91eb77044,1304435921.18359,230984.577748986
29,00057,2026-04-02,0,0,0,0,0,0,0,b40fac18-a84c-4ce2-80d7-d82bbcbd64ff,741975326.601563,351227.60076079
30,00058,2026-04-02,0,0,0,0,0,0,0,3666965d-537a-45fc-9d6c-388ca8e96a0d,425942127.664063,98842.0643219503
31,00061,2026-04-02,0,0,0,0,0,0,0,45872701-d376-429c-af22-446d0b8ff117,88179956.3867188,68876.3213612169
32,00065,2026-04-02,0,0,0,0,0,0,0,1cee9609-c538-42ec-92cd-53577e24650b,716303576.78125,189398.007871845
33,90001,2026-04-02,0,0,0,0,0,0,0,dd06d490-92a5-482d-8112-06e58d1343dd,13310275.0039063,16451.8648841005
34,90002,2026-04-02,0,0,0,0,0,0,0,bb670588-083b-4106-a82a-57cd51542ab9,11716289.703125,16445.7551473053
35,90003,2026-04-02,0,0,0,0,0,0,0,472370a4-31bb-4e5d-8ff7-f7450f3a1ffb,13258306.7304688,19244.4139633071
36,90004,2026-04-02,0,0,1,0,0,0,0,3df42b46-db35-41a3-9297-94bc0292eb4c,11796932.4023438,16174.7921957857
37,90005,2026-04-02,0,0,1,0,0,0,0,a452f1f3-2d2e-4d19-9c0e-aeac4c748b2a,5906764.6328125,15929.6941069372
38,90006,2026-04-02,0,0,1,0,0,0,0,825bb890-801f-42e0-8d57-feb4e8d2f085,7077797.96875,11142.9348879635
39,90007,2026-04-02,0,0,0,0,0,0,0,82424aae-f848-44c8-a441-9389e2cec4a1,9555711.6015625,20360.4866502656
40,90008,2026-04-02,0,0,0,0,0,0,0,6bf356b1-27de-430d-a9fc-3572dfbdeec9,13355550.8710938,21949.8135611636
41,90011,2026-04-02,0,0,0,0,0,0,0,4ea6df15-d4a2-4d88-9baf-fcd6020f255a,16474501.375,16391.3125760779
42,90012,2026-04-02,0,0,0,0,0,0,0,5fff5207-c246-45a9-b9c2-88990ad79aa9,13922536.4179688,20496.8909203696
43,90013,2026-04-02,0,0,0,0,0,0,0,74327183-e53f-402b-a614-271f3e41a880,2616608.84375,8121.72450068539
44,90014,2026-04-02,0,0,1,0,0,0,0,bd49a040-e401-49ae-b057-b7a91dca17de,1076818.515625,4397.02164424212
45,90015,2026-04-02,0,0,0,0,0,0,0,1428094a-832e-4f77-9151-b9261b630e11,6327256.03515625,13053.9823378664
46,90016,2026-04-02,0,0,0,0,0,0,0,dc178e8b-8818-4d74-8364-a2e14c32dcbe,13677010.2734375,21865.0310330552
47,90017,2026-04-02,0,0,0,0,0,0,0,8feddfa1-4d6e-49f6-a93e-619d44ff6df4,2745509.05078125,7558.68274446762
48,90018,2026-04-02,0,0,0,0,0,0,0,24f82645-0d97-4027-a044-55ba029e68a3,11763154.59375,17308.6718647298
49,90019,2026-04-02,0,0,0,0,0,0,0,7ad10ecd-f046-4461-b3e2-e031b2a9c229,15138666.1992188,21897.6206162719
50,90020,2026-04-02,0,0,1,0,0,0,0,6b2121b9-8170-4a22-835c-ad97d6f0ce1c,4189871.984375,13346.6568783806
51,90021,2026-04-02,0,0,0,0,0,0,0,7033dc32-49cd-4242-9e68-12c77454c501,7658901.75,12865.782428289
52,90022,2026-04-02,0,0,0,0,0,0,0,c0a07e48-2822-4640-932e-2fb69d1b3e52,16067173.3828125,21071.9545417426
53,90023,2026-04-02,0,0,0,0,0,0,0,c3b20d61-4d2d-41c0-b6c5-19c5e7c83955,15869819.4804688,25808.5798539858
54,90024,2026-04-02,0,0,0,0,0,0,0,953ba5d0-5692-48fd-af86-cc8f4769db40,11126050.6914063,23977.2811691401
55,90025,2026-04-02,0,0,0,0,0,0,0,14f36698-a8d2-4f4f-91cc-3c7675c9cb34,10202482.2460938,17943.2928452826
56,90026,2026-04-02,0,0,0,0,0,0,0,02893a3d-b72b-4be5-928b-1fed64efcabd,15448091.3867188,24548.3874950426
57,90027,2026-04-02,0,0,0,0,0,0,0,27519b58-2af6-4ea6-810f-3d81294e14f8,31229792.2148438,34148.5025607137
58,90028,2026-04-02,0,0,0,0,0,0,0,3a6d3457-2932-4597-8448-f2887351a811,5754048.94921875,12228.985384667
59,90029,2026-04-02,0,0,0,0,0,0,0,d876c6f7-0934-4adb-9602-658814143b4c,5098657.98828125,10411.389246437
60,90031,2026-04-02,0,0,0,0,0,0,0,c50e4b51-4d82-4683-a517-bf77908f0883,15287438.4609375,29706.8615509556
61,90032,2026-04-02,0,0,0,0,0,0,0,f3723c8b-321d-434d-95c8-5d6e8610086f,17709376.9375,23992.1049858104
62,90033,2026-04-02,0,0,0,0,0,0,0,f71e186f-375b-4564-92b9-98c69bc3478a,11380871.6992188,17795.0990014742
63,90034,2026-04-02,0,0,0,0,0,0,0,4e2d5c9f-1cd5-4f9f-8730-20f3cf6ce807,12106718.9375,21236.4161791878
64,90035,2026-04-02,0,0,0,0,0,0,0,42ebe467-2038-4111-bb18-8886d6fce64c,7928752.25390625,15524.4965085126
65,90036,2026-04-02,0,0,1,0,0,0,0,852bea50-e8c8-4523-8d8a-8806cd6dd305,9122896.6171875,13312.3244458869
66,90037,2026-04-02,0,0,0,0,0,0,0,7cb822a0-d335-491f-bec2-68ba05e4cec3,10391223.5546875,15140.5630410788
